step,train_lm_loss,grad_norm,ce_tokens,input_tokens,vision_tokens,mtp_target_tokens,step_seconds
298,0.6211426137015224,1.2067502737045288,4670,21199,4080,1600,0.36432377994060516
299,0.4924261778593063,0.9550475478172302,4685,21271,4096,1605,0.37944075278937817
300,0.5698935799300671,0.8964647054672241,4703,21349,4108,1611,0.4236229211091995
301,0.4803555727005005,0.8980035185813904,4718,21421,4124,1616,0.37667372077703476
302,0.4491547912359238,0.7576404809951782,4733,21493,4140,1621,0.40426621213555336
303,0.6029006540775299,1.0099332332611084,4751,21571,4152,1627,0.42579169385135174
304,0.4577667474746704,0.9203024506568909,4766,21638,4164,1632,0.36468056589365005
305,0.6779838850100836,1.7303996086120605,4784,21712,4172,1638,0.41087898053228855
306,0.33171960338950157,0.9873274564743042,4796,21778,4192,1642,0.3256294745951891
307,0.10786223597824574,0.32350990176200867,4808,21843,4212,1646,0.32325020991265774
308,0.5042599095031619,1.4491767883300781,4824,21916,4228,1652,0.3809402659535408
309,0.5232972039375454,1.7065702676773071,4840,21989,4244,1658,0.37861694023013115
310,0.46139573454856875,0.9871430397033691,4855,22061,4260,1663,0.37184022925794125
311,0.4895848475396633,0.7972602844238281,4870,22133,4276,1668,0.37322659604251385
312,0.47242275848984716,0.9765875935554504,4885,22200,4288,1673,0.37661626003682613
313,0.47701159939169885,0.8157867789268494,4900,22267,4300,1678,0.3895092234015465
314,0.678164778277278,0.8880614042282104,4918,22341,4308,1684,0.4122820943593979
315,0.05804112181067467,0.3149879276752472,4930,22406,4328,1688,0.3230024538934231
316,0.9250050308182836,1.3879153728485107,4946,22471,4336,1694,0.3510513287037611
317,0.24189119562506675,0.581541121006012,4961,22542,4352,1699,0.3714924957603216
318,0.45172182470560074,0.8520361185073853,4976,22609,4364,1704,0.361670583486557
319,0.6677491962909698,1.4664605855941772,4995,22684,4372,1711,0.41251759231090546
320,0.6093913033604622,0.8762921094894409,5010,22757,4388,1716,0.37701975367963314
321,0.25295433551073077,0.5070861577987671,5025,22833,4408,1721,0.3848796635866165
322,0.5438154631604751,2.029167652130127,5043,22911,4420,1727,0.42491941154003143
323,0.4201800860464573,0.8734554648399353,5058,22983,4436,1732,0.37423947639763355
324,0.4387536562979221,0.7161955237388611,5073,23050,4448,1737,0.360547898337245
325,0.5261068880558014,0.9809588193893433,5088,23118,4460,1742,0.36578250490128994
326,0.2553817808628082,0.5363751649856567,5103,23189,4476,1747,0.37378017604351044
327,0.5226717460900545,0.7962561845779419,5121,23272,4492,1753,0.4327152520418167
328,0.657668124884367,1.194616675376892,5139,23346,4500,1759,0.4126194231212139
329,0.26132305040955545,0.7352843880653381,5154,23417,4516,1764,0.36856270395219326
330,0.42815070152282714,1.1801526546478271,5169,23484,4528,1769,0.3623663280159235
331,0.5059055904857814,1.2313144207000732,5185,23557,4544,1775,0.3765115700662136
332,0.7471286554477716,1.965883731842041,5204,23632,4552,1782,0.41163139045238495
333,0.26524479733780026,0.8431994318962097,5220,23709,4572,1788,0.3922928236424923
334,0.44031989326079685,0.853756844997406,5238,23792,4588,1794,0.4329006280750036
335,0.5961434282362461,1.067794919013977,5253,23865,4604,1799,0.37645383179187775
336,0.4121740058064461,0.984923243522644,5268,23932,4616,1804,0.36242426559329033
337,0.6236248134324948,0.8407636284828186,5286,24006,4624,1810,0.4075791221112013
338,0.07017185762524605,0.3066728115081787,5301,24081,4644,1815,0.3856789134442806
339,0.39705420583486556,0.8965814113616943,5316,24148,4656,1820,0.36053275503218174
340,0.21260603442788123,0.7594814896583557,5331,24229,4680,1825,0.39892819710075855
341,0.3711313582956791,0.7574427127838135,5346,24296,4692,1830,0.3587813451886177
342,0.5420179240405559,1.3720641136169434,5361,24364,4704,1835,0.3594078794121742
343,0.4400202170014381,1.2242425680160522,5376,24436,4720,1840,0.3712544534355402
344,0.5788973027374595,1.5974528789520264,5392,24510,4736,1846,0.3749383557587862
345,0.23982546478509903,0.7272586822509766,5407,24586,4756,1851,0.38362529315054417
346,0.24024780988693237,0.8240858316421509,5422,24657,4772,1856,0.37096557579934597
